link_ppt,link_mbps,normalized_score_per_sender
0.1000000000,1.0000,-3.732931
0.1151395399,1.1514,-3.404075
0.1325711366,1.3257,-3.159056
0.1526417967,1.5264,-2.930424
0.1757510625,1.7575,-2.736151
0.2023589648,2.0236,-2.515084
0.2329951811,2.3300,-2.226980
0.2682695795,2.6827,-2.067327
0.3088843596,3.0888,-1.998700
0.3556480306,3.5565,-1.755348
0.4094915062,4.0949,-1.562850
0.4714866363,4.7149,-1.345278
0.5428675439,5.4287,-1.200889
0.6250551925,6.2506,-0.894613
0.7196856730,7.1969,-0.761949
0.8286427729,8.2864,-0.588997
0.9540954763,9.5410,-0.507166
1.0985411420,10.9854,-0.438304
1.2648552169,12.6486,-0.565039
1.4563484775,14.5635,-0.177746
1.6768329368,16.7683,-0.352490
1.9306977289,19.3070,-0.452416
2.2229964825,22.2300,-0.577276
2.5595479227,25.5955,-0.746354
2.9470517026,29.4705,-0.656254
3.3932217719,33.9322,-0.934452
3.9069399371,39.0694,-1.061422
4.4984326690,44.9843,-1.344335
5.1794746792,51.7947,-1.508882
5.9636233166,59.6362,-1.717877
6.8664884500,68.6649,-2.029749
7.9060432109,79.0604,-2.122642
9.1029817799,91.0298,-2.295806
10.4811313415,104.8113,-2.516764
12.0679264064,120.6793,-2.737430
13.8949549437,138.9495,-2.975348
15.9985871961,159.9859,-3.087824
18.4206996933,184.2070,-3.352254
21.2095088792,212.0951,-3.558496
24.4205309455,244.2053,-3.755713
28.1176869797,281.1769,-3.926154
32.3745754282,323.7458,-4.139190
37.2759372031,372.7594,-4.296924
42.9193426013,429.1934,-4.536939
49.4171336132,494.1713,-4.740795
56.8986602902,568.9866,-4.953068
65.5128556860,655.1286,-5.169755
75.4312006335,754.3120,-5.366051
86.8511373751,868.5114,-5.590713
100.0000000000,1000.0000,-5.760172
