link_ppt,link_mbps,normalized_score_per_sender
0.1000000000,1.0000,-3.191500
0.1151395399,1.1514,-2.945718
0.1325711366,1.3257,-2.755394
0.1526417967,1.5264,-2.554657
0.1757510625,1.7575,-2.368258
0.2023589648,2.0236,-2.060748
0.2329951811,2.3300,-1.908219
0.2682695795,2.6827,-1.685936
0.3088843596,3.0888,-1.336672
0.3556480306,3.5565,-1.527386
0.4094915062,4.0949,-1.353260
0.4714866363,4.7149,-1.259410
0.5428675439,5.4287,-1.083479
0.6250551925,6.2506,-1.055171
0.7196856730,7.1969,-1.154404
0.8286427729,8.2864,-1.043448
0.9540954763,9.5410,-0.976231
1.0985411420,10.9854,-0.996633
1.2648552169,12.6486,-1.025459
1.4563484775,14.5635,-0.527155
1.6768329368,16.7683,-0.469666
1.9306977289,19.3070,-0.460206
2.2229964825,22.2300,-1.300625
2.5595479227,25.5955,-0.520199
2.9470517026,29.4705,-0.341739
3.3932217719,33.9322,-0.397821
3.9069399371,39.0694,-0.525561
4.4984326690,44.9843,-1.006308
5.1794746792,51.7947,-0.591398
5.9636233166,59.6362,-0.719812
6.8664884500,68.6649,-0.899160
7.9060432109,79.0604,-1.129466
9.1029817799,91.0298,-1.360429
10.4811313415,104.8113,-1.484360
12.0679264064,120.6793,-1.743068
13.8949549437,138.9495,-1.903982
15.9985871961,159.9859,-2.187381
18.4206996933,184.2070,-2.316362
21.2095088792,212.0951,-2.577228
24.4205309455,244.2053,-2.713755
28.1176869797,281.1769,-2.946028
32.3745754282,323.7458,-3.190346
37.2759372031,372.7594,-3.293798
42.9193426013,429.1934,-3.532148
49.4171336132,494.1713,-3.711174
56.8986602902,568.9866,-4.030299
65.5128556860,655.1286,-4.103913
75.4312006335,754.3120,-4.393152
86.8511373751,868.5114,-4.581520
100.0000000000,1000.0000,-4.734697
